x,y,z
0.12166,0.098000005,-0.4515
0.1288,0.081760004,-0.45136002
0.133,0.062580004,-0.4487
0.14140001,0.04592,-0.4571
0.14728001,0.04032,-0.45178002
0.1596,0.026600001,-0.45276
0.15918,0.02604,-0.45164
0.15736,0.02016,-0.45528
0.16114001,0.0175,-0.45920002
0.16086,0.00868,-0.45822
0.16912,-4.2E-4,-0.45808002
0.16422,-0.01274,-0.4501
0.15988,-0.03486,-0.44464
0.16086,-0.03514,-0.44436002
0.15848,4.2E-4,-0.44898
0.16044,-0.00294,-0.45402002
0.15722,-0.0092400005,-0.45458
0.1575,0.00686,-0.45234
0.16688001,0.0051800003,-0.45654002
0.17612,1.4E-4,-0.46102002
0.17444001,0.0071400004,-0.45388
0.1848,-0.010360001,-0.44716
0.1932,-0.0071400004,-0.45668
0.19880001,-0.00532,-0.45920002
0.19474001,-0.01064,-0.4641
0.1911,0.0091,-0.45682
0.20734,-0.0182,-0.45052
0.21392001,-0.03388,-0.45738003
0.22246,-0.03864,-0.46004
0.24192001,-0.03948,-0.45752
0.24248001,-0.056280002,-0.45304
0.24654001,-0.049000002,-0.45038
0.26082,-0.06356,-0.44436002
0.25872,-0.096880004,-0.44128
0.25102,-0.07308,-0.44632
0.24584001,-0.06958,-0.44002002
0.23968,-0.03528,-0.44814003
0.24472001,-0.05208,-0.4571
0.2506,-0.05068,-0.45304
0.26222,-0.04592,-0.45864
0.2667,-0.05558,-0.45164
0.27384,-0.049560003,-0.44660002
0.27342,-0.06846,-0.44814003
0.27776,-0.049140003,-0.45374
0.27888,-0.030380001,-0.44912001
0.28518,-0.022680001,-0.45920002
0.28252,-0.035,-0.46284002
0.27832,-0.02002,-0.45822
0.26446,-0.024360001,-0.45374
0.26992002,-0.018900001,-0.45332003
0.27496,-0.04256,-0.44674
0.28798002,-0.03948,-0.4508
0.2933,-0.0518,-0.44702002
0.31584,-0.045500003,-0.44954002
0.3192,-0.04018,-0.44814003
0.31864,-0.0539,-0.44002002
0.32354,-0.048720002,-0.44828
0.32466,-0.05544,-0.43694
0.32928002,-0.070700005,-0.44562
0.33432,-0.070140004,-0.43400002
0.32214,-0.05936,-0.44198
0.32382,-0.026600001,-0.44506
0.32746002,-0.0231,-0.4445
0.33208,-0.0273,-0.45164
0.3549,-0.0231,-0.44282
0.35700002,-0.00644,-0.44296002
0.3612,-0.014,-0.44394
0.36722,0.012320001,-0.4445
0.3794,0.01148,-0.44786
0.37422,0.033460002,-0.44156
0.37926,0.0071400004,-0.43974
0.39424002,0.00406,-0.43638
0.40600002,-0.01078,-0.42952
0.40992,0.0049,-0.43008
0.41762,0.00266,-0.43834
0.41300002,0.0037800001,-0.43442002
0.4109,0.00392,-0.43582
0.4151,0.00392,-0.4424
0.41986,0.00266,-0.43722
0.41972002,-0.00532,-0.43386
0.41356,0.00686,-0.43274
0.41622,0.04256,-0.44338
0.40936002,0.04032,-0.44562
0.41412002,0.0581,-0.44002002
0.43498,0.04676,-0.44366002
0.44016,0.052360002,-0.44044
0.44436002,0.05852,-0.44002002
0.44688,0.05572,-0.44856
0.46144003,0.07574,-0.43708003
0.44856,0.07252,-0.44422
0.43218002,0.09058,-0.44912001
0.44156,0.09184,-0.4487
0.44618002,0.067200005,-0.4445
0.45416,0.063420005,-0.45388
0.46172002,0.05404,-0.44954002
0.47390002,0.05852,-0.43792
0.47208002,0.074760005,-0.43904
0.47460002,0.06832,-0.43596002
0.47726002,0.066920005,-0.4431
0.46802002,0.06888,-0.44982
0.4571,0.08484,-0.45248002
0.44772002,0.074200004,-0.45528
0.44114003,0.11914001,-0.45556
0.44590002,0.12082,-0.45808002
0.46872002,0.13804,-0.44492
0.46494,0.14966,-0.4368
0.46676,0.15820001,-0.43946
0.46914002,0.16870001,-0.43666002
0.46438003,0.18256001,-0.43848002
0.43414,0.20342,-0.448
0.43316,0.19894001,-0.45304
0.44520003,0.18606001,-0.44660002
0.44758,0.19978,-0.43792
0.44688,0.19628,-0.43918002
0.44394,0.19012001,-0.44590002
0.43176,0.18424,-0.44422
0.41972002,0.20482,-0.4438
0.41048002,0.2016,-0.45990002
0.39424002,0.2114,-0.46102002
0.39578,0.24010001,-0.45136002
0.39144,0.25452,-0.44786
0.39452,0.25158,-0.44436002
0.41048002,0.25186,-0.44394
0.41314,0.27608,-0.43764
0.41174,0.25928,-0.44282
0.40474,0.2863,-0.43988
0.37842,0.30632,-0.44086
0.36722,0.30128002,-0.44520003
0.36568,0.294,-0.44464
0.36414,0.26866,-0.45696002
0.36722,0.26362002,-0.46186
0.36876002,0.26418,-0.45696002
0.37646002,0.25438002,-0.45794
0.3752,0.26880002,-0.45864
0.3696,0.27524,-0.45514002
0.3423,0.2576,-0.47152
0.31122002,0.29372,-0.45192
0.30926,0.28518,-0.44632
0.31122002,0.30128002,-0.4494
0.3227,0.30086002,-0.44730002
0.31164,0.31514,-0.43666002
0.26656002,0.29932,-0.44576
0.27468002,0.27454,-0.4501
0.27272,0.27412,-0.45486
0.27496,0.2751,-0.44324002
0.27846,0.28434,-0.44968
0.27062002,0.27846,-0.44576
0.27034,0.28042,-0.45136002
0.2681,0.26768002,-0.45332003
0.2352,0.25886,-0.45682
0.22946,0.2541,-0.45360002
0.22498001,0.26796,-0.44772002
0.21616,0.28994,-0.43932
0.2212,0.2723,-0.448
0.2044,0.3059,-0.42126
0.18984,0.31136,-0.4158
0.16744,0.27552,-0.42966002
0.16968,0.259,-0.4501
0.17024,0.238,-0.44968
0.1715,0.26306,-0.45458
0.16870001,0.23324001,-0.44604
0.16814001,0.24108,-0.44996002
0.16674,0.22358,-0.45626003
0.16394,0.20692001,-0.44912001
0.14952001,0.20608,-0.44324002
0.1365,0.20706001,-0.4445
0.13104,0.23198001,-0.43974
0.12726,0.23968,-0.42896003
0.13412,0.25018,-0.42182
0.13188,0.25480002,-0.42504
0.14504,0.26026002,-0.44128
0.14504,0.26082,-0.43428
0.1365,0.252,-0.43386
0.13790001,0.26642,-0.42966002
0.1246,0.25956002,-0.41818002
0.10598,0.24234001,-0.42182
0.11592,0.19796,-0.43946
0.12376,0.1939,-0.44730002
0.12712,0.20048,-0.4424
0.13062,0.18998,-0.44898
0.12544,0.20006001,-0.44184002
0.12558,0.18606001,-0.44464
0.12362,0.18774,-0.44758
0.1225,0.17472,-0.44772002
0.10458,0.14658001,-0.44366002
0.103180006,0.16520001,-0.43288
0.103180006,0.16520001,-0.43288
0.0924,0.1806,-0.42658
0.11298,0.17332001,-0.44226
0.11466,0.17542,-0.44548002
0.1141,0.16716,-0.44254002
0.10164,0.18102,-0.44128
0.09142,0.15344,-0.43988
0.082880005,0.14112,-0.4431
0.08904,0.12964,-0.4424
-3.14242603E13,-7.404872E19,-6.869861E21
0.11088,0.09702,-0.45304
0.11130001,0.08904,-0.45094
0.08708,0.056420002,-0.448
0.08512,0.06412,-0.44254002
0.10164,0.07294,-0.44562
0.110740006,0.0763,-0.43876
0.11732,0.07672,-0.44828
0.12194,0.1008,-0.45738003
0.11186,0.08848,-0.45122
0.11606,0.102620006,-0.44618002
0.101500005,0.07756,-0.4431
0.11984,0.03136,-0.44604
0.13146,0.028840002,-0.44030002
0.14476,0.013160001,-0.44520003
0.14462,0.028140001,-0.44128
0.14784001,-0.00126,-0.448
0.1463,-0.014420001,-0.43876
0.14266,-0.012320001,-0.44198
0.13776,-0.00644,-0.43554002
0.13986,0.02604,-0.44968
0.15106,0.00448,-0.44996002
0.15848,0.0061600003,-0.45206
0.18228,0.009380001,-0.4585
0.17024,0.00686,-0.46046
0.15988,0.01596,-0.45766002
0.16058001,-0.00224,-0.45234
0.16814001,-0.0119,-0.44604
0.17542,-0.02786,-0.44842002
0.18662001,-0.04018,-0.45290002
0.19754,-0.033600003,-0.44758
0.2086,-0.022680001,-0.45486
0.21084,-0.04382,-0.45024002
0.20762001,-0.0693,-0.43904
0.20300001,-0.06916,-0.44366002
0.2044,-0.041580003,-0.44716
0.20356001,-0.04298,-0.4508
0.23002,-0.0441,-0.45444
0.23576,-0.048860002,-0.45122
0.2394,-0.041160002,-0.45682
0.25326002,-0.03136,-0.46578002
0.24542001,-0.00238,-0.46494
0.24024001,-0.02016,-0.46256
0.2667,-0.070700005,-0.46074
0.27566,-0.05488,-0.45374
0.28896,-0.06916,-0.4494
0.28910002,-0.0469,-0.45248002
0.30562,-0.0651,-0.45304
0.30002,-0.063140005,-0.46018
0.3017,-0.0651,-0.4508
0.29246,-0.05908,-0.45220003
0.28504002,-0.060480002,-0.4585
0.2842,-0.04256,-0.45794
0.28210002,-0.01484,-0.46508002
0.29288,-0.01736,-0.46396002
0.30618,-0.0231,-0.45738003
0.31444,-0.0182,-0.46256
0.3157,-0.02492,-0.46564
0.31626,-0.016660001,-0.46046
0.32592002,-0.02324,-0.47404
0.32424,0.007,-0.47068
