x,y,z
3.12375,19.5125,-8.381817E23
7.735,10.4475,-32.795002
-19.075,6.16,-27.615
19.41625,-12.2675,-15.715
54.78375,-4.4625,-14.7612505
-9.61625,25.50625,-17.57875
-2.87875,18.655,-13.67625
5.0225,1.26875,-19.34625
32.8475,8.00625,-25.47125
27.973751,-12.90625,-15.4875
8.155,-29.32125,-28.02625
-37.24,22.65375,-21.27125
-27.317501,16.73875,-26.285
4.9175,14.9275,-21.9275
-3.00125,-1.6537501,-23.345
-3.6925,-4.7425,-14.21
-13.18625,-2.0825,-21.98
-21.4725,-12.66125,-26.69625
-8.33,-31.465,-28.1225
28.630001,1.72375,-15.32125
15.39125,8.61875,-23.38875
-6.11625,17.045,-19.29375
-4.80375,17.57875,-15.1987505
17.675,-18.1825,-22.995
-4.71625,-41.71125,-31.85
-2.695,-13.9475,-47.85375
-37.6775,19.57375,-22.68875
-41.18625,17.5525,-27.3525
-23.17,15.9775,-26.20625
3.3775,16.94,-23.10875
12.7575,19.52125,-28.7
1.8375,3.57,-27.22125
-19.46875,-2.70375,-21.8225
-3.22875,-32.655,-27.27375
43.47875,-5.13625,-18.20875
28.35875,1.02375,-22.6625
9.5025,10.68375,-27.7025
-4.375,20.3,-17.96375
3.71875,8.56625,-23.2925
7.04375,2.09125,-23.51125
23.91375,-16.33625,-22.9075
5.5825,-28.0875,-30.9225
-6.20375,-14.7,-45.885
-24.815,18.27875,-29.2775
10.78,11.99625,-26.85375
14.20125,18.48,-30.24
3.40375,-3.24625,-21.455
-11.34,1.2425,-22.72375
-15.9775,-5.1625,-28.245
-5.1625,-19.90625,-24.42125
3.0975,-40.73125,-25.025
50.225,-1.5575,-15.6975
35.79625,3.395,-16.3275
13.79875,14.1050005,-22.40875
-9.1525,22.11125,-18.45375
-7.0,19.1625,-14.6475
0.1925,6.86,-18.62875
17.885,3.61375,-19.4425
3.7975001,4.92625,-35.91875
17.73625,6.5275,-30.28375
25.01625,-15.4525,-19.38125
-5.8275,-30.8525,-30.07375
-4.6375,-16.0125,-38.71875
-50.513752,15.1025,-24.57875
-25.3225,15.37375,-26.6175
2.73875,14.0875,-20.1425
13.2125,20.41375,-28.7525
-11.62,-0.7525,-19.73125
-10.1325,-3.42125,-17.9375
-16.80875,-9.905,-26.5125
-7.35875,-26.57375,-21.6125
-5.67875,-17.07125,-23.45875
33.46,-3.66625,-19.04875
45.395,-2.00375,-12.41625
-0.77,16.1875,-17.6225
-0.2975,17.89375,-11.585
1.84625,7.5075,-15.3475
8.37375,3.85875,-20.74625
-1.82875,3.15875,-29.8025
6.4225,1.26875,-26.3375
14.1050005,-16.8525,-20.39625
2.75625,-23.9575,-29.47875
-48.125,14.70875,-21.1225
-35.88375,8.37375,-23.17
2.8175,15.5225,-26.005
-13.67625,2.17875,-23.1875
-17.80625,-2.96625,-23.1875
7.385,-26.25,-21.2625
45.7275,-5.3725,-15.75875
2.975,13.6675005,-21.60375
-4.69875,22.9775,-18.025
-0.32375,17.26375,-17.70125
6.37875,5.635,-25.7075
12.4775,4.445,-27.4225
16.24,5.7400002,-37.205
24.85,-12.0225,-18.61125
15.715,-23.205,-29.35625
-11.82125,-19.8625,-52.9375
-22.47875,11.515,-30.03875
-48.69375,20.545,-20.0025
-17.29,13.27375,-33.76625
4.06,16.54625,-29.4
-16.1875,7.4025,-30.24875
-12.73125,1.6625,-21.9975
-5.74875,-6.3962502,-21.1925
-17.24625,-7.8575,-27.86875
-1.42625,-28.105,-23.616251
36.14625,-7.60375,-15.12
37.31875,-2.695,-15.4175005
13.195,7.455,-23.02125
-6.5275,18.71625,-20.58
0.28875,22.1025,-15.6362505
18.2875,2.4325001,-23.0475
17.10625,2.415,-24.77125
14.6125,-14.83125,-19.53
1.37375,-30.56375,-29.39125
-1.61,-19.88,-42.49
7.91,19.241251,-24.08875
1.02375,3.43875,-23.47625
-17.5175,-7.76125,-20.95625
-12.87125,-11.22625,-16.16125
-2.3275,-22.84625,-20.9125
12.9325,-28.14875,-16.205
24.2025,-1.0675,-17.955
38.263752,-1.42625,-15.155
14.0175,7.09625,-20.58875
1.02375,23.1875,-14.096251
6.195,9.6425,-17.7625
18.025,0.4725,-22.70625
14.9625,-0.86625,-37.38
9.1525,-2.38,-33.425
5.1975,-2.6425,-32.17375
9.40625,-12.7925005,-24.21125
5.13625,-0.9975,-37.0475
-36.0325,14.3675,-22.56625
-34.1775,14.6125,-31.59625
-3.045,15.995,-28.11375
7.9975,15.015,-30.135
-13.3175,1.32125,-15.16375
-9.4325,-7.0175,-17.19375
-11.87375,-9.415,-21.210001
8.3475,-30.765,-23.8
34.43125,-0.9975,-4.13
15.33,11.87375,-15.505
-9.63375,17.85,-13.8075
3.5,9.45,-16.94
13.4487505,7.91,-26.460001
5.88875,-2.975,-23.89625
10.71875,-19.11,-22.33
-52.19375,22.47,-20.4225
-33.18875,11.27875,-23.44125
-25.68125,15.4875,-19.215
11.375,8.16375,-23.66
-8.645,-1.855,-15.58375
-10.31625,-6.3175,-23.75625
-12.32,-9.7300005,-30.79125
3.45625,-29.26875,-29.295
47.232502,-5.8275,-17.395
37.86125,-3.31625,-16.58125
12.8275,7.6825,-22.86375
-1.2162501,21.65625,-13.60625
10.47375,11.82125,-15.25125
16.19625,6.7025,-22.65375
7.4900002,10.64875,-29.47
12.24125,-26.6525,-26.41625
-12.90625,7.02625,-32.94375
-55.2825,22.1725,-26.241251
