x,y,z
-0.21875,-14.90125,15.47875
-14.56875,0.8225,2.0125
-7.02625,0.18375,5.69625
-6.9475,6.3962502,12.36375
-18.59375,19.69625,5.32875
-2.79125,-3.50875,11.59375
-9.49375,1.8987501,18.445
-15.53125,3.6925,19.145
-21.30625,5.43375,3.94625
-17.9025,0.7525,3.73625
-13.04625,-2.59875,6.27375
-12.845,-19.13625,12.6875
-7.35875,-33.71375,25.8475
7.6475,-10.64875,18.0075
18.0425,-1.81125,7.32375
24.3075,4.08625,17.255
-0.00875,6.72875,14.14
4.12125,0.9275,16.765
5.53,-15.61,13.50125
5.39,-5.92375,11.50625
5.20625,-1.505,3.4825
22.60125,3.78,12.4775
11.9175005,-1.715,14.56
-2.555,-16.28375,17.4475
-20.553751,-53.13,0.525
-20.32625,-16.38875,-0.42000002
-22.25125,5.3725,12.10125
-11.12125,12.15375,17.325
-5.145,-6.4925,12.6175
-13.25625,-0.525,23.86125
-5.425,2.2925,21.41125
1.09375,6.01125,18.75125
-7.41125,-2.45875,14.7175
-7.41125,-2.45875,14.7175
-4.9875,-39.357502,27.755001
13.335,-8.32125,27.51
24.6575,5.59125,16.9575
24.6925,2.02125,19.80125
15.05875,4.71625,21.98875
2.98375,6.4925,27.46625
0.88375,1.67125,29.2075
4.165,-12.76625,21.97125
14.51625,-11.2875,18.15625
4.7075,-12.31125,19.635
-13.72875,-35.7525,-4.4625
-32.03375,-28.74375,-13.90375
-30.275,0.62125,7.93625
-7.105,5.78375,17.8325
-12.34625,16.1175,14.41125
-6.16875,16.2225,9.17875
-1.925,-4.9875,13.0025
-13.475,-2.1875,20.991251
-17.28125,6.6325,15.56625
-9.765,-10.17625,10.955
-7.5950003,-30.66,12.08375
24.42125,-2.75625,26.6525
26.46875,0.91875,17.43
8.9075,5.31125,19.76625
-4.1475,11.38375,22.70625
-6.9125,4.19125,24.92
4.66375,-0.6125,18.13
11.9175005,11.935,11.8475
-3.82375,-13.57125,13.57125
-18.75125,-33.43375,-1.25125
-30.765,-1.4175,8.11125
-14.2275,-1.925,12.495
-9.45,10.5875,15.645
-13.7725,18.76,15.72375
-8.77625,10.15875,16.30125
-12.39,-8.05875,10.35125
-15.72375,-28.9625,10.03625
0.44625,-27.58875,20.81625
28.525,-0.1925,16.8875
26.34625,0.052500002,19.11
-0.945,10.24625,25.9
1.60125,-6.265,24.94625
0.77,-9.59,21.91
11.64625,-9.66,7.28
-10.85875,-30.91375,-0.04375
-25.3575,2.73875,5.50375
-9.47625,15.1725,13.04625
-12.64375,21.42,8.6625
10.9725,-9.00375,11.9
-2.66875,-5.53875,11.87375
-11.9525,-4.515,18.4975
-13.4575,-6.1775002,13.5975
-12.495,-8.9425,9.2925005
